"No.","Time","Source","Destination","Protocol","Length","Info"
"46","8.492988","192.168.100.102","192.168.100.1","TCP","82","65382  >  8888 [PSH, ACK] Seq=138 Ack=1136 Win=64256 Len=28"
"47","8.502121","192.168.100.1","192.168.100.102","TCP","94","8888  >  65382 [PSH, ACK] Seq=1136 Ack=166 Win=14600 Len=40"
"48","8.548216","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=166 Ack=1176 Win=64256 Len=0"
"49","8.551315","192.168.100.1","192.168.100.102","TCP","148","8888  >  65382 [PSH, ACK] Seq=1176 Ack=166 Win=14600 Len=94"
"50","8.593674","192.168.100.102","192.168.100.1","TCP","82","65382  >  8888 [PSH, ACK] Seq=166 Ack=1270 Win=64256 Len=28"
"51","8.596746","192.168.100.1","192.168.100.102","TCP","134","8888  >  65382 [PSH, ACK] Seq=1270 Ack=194 Win=14600 Len=80"
"52","8.640752","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=194 Ack=1350 Win=64000 Len=0"
"53","8.643574","192.168.100.1","192.168.100.102","TCP","134","8888  >  65382 [PSH, ACK] Seq=1350 Ack=194 Win=14600 Len=80"
"54","8.686706","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=194 Ack=1430 Win=64000 Len=0"
"55","8.689640","192.168.100.1","192.168.100.102","TCP","174","8888  >  65382 [PSH, ACK] Seq=1430 Ack=194 Win=14600 Len=120"
"56","8.695288","192.168.100.102","192.168.100.1","TCP","78","65382  >  8888 [PSH, ACK] Seq=194 Ack=1550 Win=65280 Len=24"
"57","8.707375","192.168.100.1","192.168.100.102","TCP","94","8888  >  65382 [PSH, ACK] Seq=1550 Ack=218 Win=14600 Len=40"
"58","8.748676","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=218 Ack=1590 Win=65280 Len=0"
"59","8.752760","192.168.100.1","192.168.100.102","TCP","134","8888  >  65382 [PSH, ACK] Seq=1590 Ack=218 Win=14600 Len=80"
"60","8.795463","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=218 Ack=1670 Win=65280 Len=0"
"61","8.798168","192.168.100.102","192.168.100.1","TCP","82","65382  >  8888 [PSH, ACK] Seq=218 Ack=1670 Win=65280 Len=28"
"62","8.798370","192.168.100.1","192.168.100.102","TCP","134","8888  >  65382 [PSH, ACK] Seq=1670 Ack=218 Win=14600 Len=80"
"63","8.841181","192.168.100.1","192.168.100.102","TCP","54","8888  >  65382 [ACK] Seq=1750 Ack=246 Win=14600 Len=0"
"64","8.842942","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=246 Ack=1750 Win=65280 Len=0"
"65","8.845968","192.168.100.1","192.168.100.102","TCP","215","8888  >  65382 [PSH, ACK] Seq=1750 Ack=246 Win=14600 Len=161"
"66","8.888960","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=246 Ack=1911 Win=65024 Len=0"
"67","8.900517","192.168.100.102","192.168.100.1","TCP","91","65382  >  8888 [PSH, ACK] Seq=246 Ack=1911 Win=65024 Len=37"
"68","9.034162","192.168.100.1","192.168.100.102","ICMP","98","Echo (ping) request  id=0x4d24, seq=0/0, ttl=64 (reply in 69)"
"69","9.034633","192.168.100.102","192.168.100.1","ICMP","98","Echo (ping) reply    id=0x4d24, seq=0/0, ttl=128 (request in 68)"
"70","9.075901","192.168.100.102","192.168.100.1","DNS","83","Standard query 0x863c A www.msftconnecttest.com"
"71","9.076856","192.168.100.102","192.168.100.1","DNS","83","Standard query 0xd8c4 A www.msftconnecttest.com"
"72","9.083094","192.168.100.1","192.168.100.102","TCP","638","8888  >  65382 [PSH, ACK] Seq=1911 Ack=246 Win=14600 Len=584"
"73","9.087765","192.168.100.1","192.168.100.102","DNS","83","Standard query response 0x863c Refused A www.msftconnecttest.com"
"74","9.087765","192.168.100.1","192.168.100.102","DNS","83","Standard query response 0xd8c4 Refused A www.msftconnecttest.com"
"75","9.094302","192.168.100.1","192.168.100.255","UDP","86","46573  >  8668 Len=44"
"76","9.122297","192.168.100.102","192.168.100.1","TCP","91","[TCP Retransmission] 65382  >  8888 [PSH, ACK] Seq=246 Ack=2495 Win=64512 Len=37"
