"No.","Time","Source","Destination","Protocol","Length","Info"
"73","2.000217","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=4421 Ack=1 Win=1825 Len=80"
"74","2.043156","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=4501 Win=16872 Len=0"
"75","2.045957","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=4501 Ack=1 Win=1825 Len=80"
"76","2.089576","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=4581 Win=16792 Len=0"
"77","2.093749","192.168.100.1","192.168.100.102","TCP","174","8888  >  64383 [PSH, ACK] Seq=4581 Ack=1 Win=1825 Len=120"
"78","2.135990","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=4701 Win=16672 Len=0"
"79","2.139163","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=4701 Ack=1 Win=1825 Len=80"
"80","2.182851","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=4781 Win=16592 Len=0"
"81","2.185979","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=4781 Ack=1 Win=1825 Len=80"
"82","2.229537","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=4861 Win=16512 Len=0"
"83","2.232584","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=4861 Ack=1 Win=1825 Len=80"
"84","2.275723","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=4941 Win=16432 Len=0"
"85","2.278445","192.168.100.1","192.168.100.102","TCP","174","8888  >  64383 [PSH, ACK] Seq=4941 Ack=1 Win=1825 Len=120"
"86","2.323274","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=5061 Win=16312 Len=0"
"87","2.326402","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=5061 Ack=1 Win=1825 Len=80"
"88","2.369151","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=5141 Win=16232 Len=0"
"89","2.372136","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=5141 Ack=1 Win=1825 Len=80"
"90","2.415338","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=5221 Win=16152 Len=0"
"91","2.418190","192.168.100.1","192.168.100.102","TCP","174","8888  >  64383 [PSH, ACK] Seq=5221 Ack=1 Win=1825 Len=120"
"92","2.461009","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=5341 Win=16032 Len=0"
"93","2.465966","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=5341 Ack=1 Win=1825 Len=80"
"94","2.506936","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=5421 Win=15952 Len=0"
"95","2.509990","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=5421 Ack=1 Win=1825 Len=80"
"96","2.552392","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=5501 Win=15872 Len=0"
"97","2.555082","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=5501 Ack=1 Win=1825 Len=80"
"98","2.598334","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=5581 Win=15792 Len=0"
"99","2.603738","192.168.100.1","192.168.100.102","TCP","278","8888  >  64383 [PSH, ACK] Seq=5581 Ack=1 Win=1825 Len=224"
"100","2.657990","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=5805 Win=15568 Len=0"
"101","2.753903","192.168.100.1","192.168.100.102","ICMP","98","Echo (ping) request  id=0x194a, seq=0/0, ttl=64 (reply in 102)"
"102","2.754358","192.168.100.102","192.168.100.1","ICMP","98","Echo (ping) reply    id=0x194a, seq=0/0, ttl=128 (request in 101)"
"103","2.809589","192.168.100.1","192.168.100.255","UDP","86","46573  >  8668 Len=44"
"104","2.855083","192.168.100.1","192.168.100.102","TCP","640","8888  >  64383 [PSH, ACK] Seq=5805 Ack=1 Win=1825 Len=586"
"105","2.905115","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=6391 Win=14982 Len=0"
"106","2.908000","192.168.100.1","192.168.100.102","TCP","174","8888  >  64383 [PSH, ACK] Seq=6391 Ack=1 Win=1825 Len=120"
"107","2.950566","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=6511 Win=14862 Len=0"
"108","2.954672","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=6511 Ack=1 Win=1825 Len=80"
"109","2.997598","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=6591 Win=14782 Len=0"
"110","3.000594","192.168.100.1","192.168.100.102","TCP","174","8888  >  64383 [PSH, ACK] Seq=6591 Ack=1 Win=1825 Len=120"
"111","3.044395","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=6711 Win=14662 Len=0"
"112","3.049106","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=6711 Ack=1 Win=1825 Len=80"
"113","3.090696","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=6791 Win=14582 Len=0"
"114","3.094209","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=6791 Ack=1 Win=1825 Len=80"
"115","3.137392","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=6871 Win=14502 Len=0"
"116","3.140449","192.168.100.1","192.168.100.102","TCP","174","8888  >  64383 [PSH, ACK] Seq=6871 Ack=1 Win=1825 Len=120"
"117","3.183315","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=6991 Win=14382 Len=0"
"118","3.186141","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=6991 Ack=1 Win=1825 Len=80"
"119","3.229229","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=7071 Win=14302 Len=0"
"120","3.232643","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=7071 Ack=1 Win=1825 Len=80"
"121","3.274945","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=7151 Win=14222 Len=0"
"122","3.278245","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=7151 Ack=1 Win=1825 Len=80"
"123","3.320856","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=7231 Win=14142 Len=0"
"124","3.326056","192.168.100.1","192.168.100.102","TCP","174","8888  >  64383 [PSH, ACK] Seq=7231 Ack=1 Win=1825 Len=120"
"125","3.367062","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=7351 Win=14022 Len=0"
"126","3.370024","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=7351 Ack=1 Win=1825 Len=80"
"127","3.413858","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=7431 Win=13942 Len=0"
